Country,Year,Latitude,Longitude,Death_Category
Solomon Islands,19,-12.584,166.676,0 Deaths
Philippines,19,8.047,125.41,1-50 Deaths
Switzerland,18,46.9,8.6,51-100 Deaths
Philippines,19,6.292,124.09,>1001 Deaths
Iran,20,31.953,49.209,0 Deaths
Pakistan,19,29.926,66.302,1-50 Deaths
Venezuela,19,10.598,-63.486,51-100 Deaths
Tonga Trench,19,-22.878,-175.9,1-50 Deaths
Peru,19,-15.679,-71.574,51-100 Deaths
El Salvador,19,13.5,-89.3,101-1000 Deaths
Iran,18,37.3,58.3,>1001 Deaths
Honduras-Guatemala-El Salvador,19,14.487,-89.121,1-50 Deaths
Japan,19,40.8,143.2,51-100 Deaths
China,19,29.5,102.5,101-1000 Deaths
Iran,18,37.3,58.3,>1001 Deaths
China,19,37.093,103.781,1-50 Deaths
Afghanistan,19,36.415,70.789,1-50 Deaths
Iran,19,38.075,48.05,>1001 Deaths
Costa Rica-Panama,19,8.7,-83.2,1-50 Deaths
Afghanistan,19,36.901,67.163,101-1000 Deaths
Iran,19,36.957,49.409,>1001 Deaths
Afghanistan,19,35.121,70.486,1-50 Deaths
Indonesia,20,-4.721,102.087,101-1000 Deaths
Taiwan,19,23.916,121.636,1-50 Deaths
Mexico,19,17.802,-101.647,51-100 Deaths
Peru,19,-6.016,-77.229,101-1000 Deaths
Philippines,19,9.253,125.606,1-50 Deaths
Switzerland,18,46.3,8.0,51-100 Deaths
El Salvador,20,13.671,-88.938,101-1000 Deaths
Peru,19,-8.143,-77.954,1-50 Deaths
China,18,34.7,104.9,51-100 Deaths
Pakistan,19,35.1,72.9,>1001 Deaths
Afghanistan,19,34.616,70.484,1-50 Deaths
Turkey,19,37.6,29.8,51-100 Deaths
Iran,18,26.95,56.26,>1001 Deaths
Peru,19,-9.505,-77.512,1-50 Deaths
Turkey,19,39.8,39.5,51-100 Deaths
India,19,30.78,78.774,>1001 Deaths
Turkey,19,37.7,28.89,1-50 Deaths
Mexico,19,16.5,-99.1,51-100 Deaths
India,19,18.066,76.451,>1001 Deaths
Philippines,19,10.2,124.1,1-50 Deaths
Pakistan,20,34.539,73.588,>1001 Deaths
Chile,19,-25.5,-69.2,1-50 Deaths
Greece,18,37.8,27.0,51-100 Deaths
China,19,25.2,102.5,101-1000 Deaths
China,19,22.317,111.8,>1001 Deaths
Japan,19,38.65,139.2,1-50 Deaths
Switzerland,18,45.9,6.1,51-100 Deaths
Iran,18,38.6,44.9,101-1000 Deaths
Yemen,19,16.4,43.5,>1001 Deaths
Dominican Republic,19,17.984,-69.338,1-50 Deaths
